NC_002523.4,Proteobacteria
NC_002524.1,unclassified Bacteria
NC_002525.1,Proteobacteria
NC_002569.1,Tenericutes
NC_002575.1,Proteobacteria
NC_002576.1,Actinobacteria
NC_002579.1,Proteobacteria
NC_002580.1,Actinobacteria
NC_002610.1,Proteobacteria
NC_002611.1,Actinobacteria
NC_002630.1,Firmicutes
NC_002632.1,Proteobacteria
NC_002635.1,Actinobacteria
NC_002637.1,Proteobacteria
NC_002638.1,Proteobacteria
NC_002650.1,Spirochaetes
NC_002664.1,Proteobacteria
NC_002675.1,Firmicutes
NC_002679.1,Proteobacteria
NC_002682.1,Proteobacteria
NC_002698.1,Proteobacteria
NC_002699.1,Actinobacteria
NC_002748.1,Firmicutes
NC_002757.1,Firmicutes
NC_002759.1,Proteobacteria
NC_002760.1,Proteobacteria
NC_002773.1,Proteobacteria
NC_002774.1,Firmicutes
NC_002775.1,Actinobacteria
NC_002776.1,Firmicutes
NC_002798.1,Firmicutes
NC_002799.1,Firmicutes
NC_002806.1,Bacteroidetes
NC_002809.1,Proteobacteria
NC_002810.1,Firmicutes
NC_003037.1,Proteobacteria
NC_003042.1,Firmicutes
NC_003064.2,Proteobacteria
NC_003065.3,Proteobacteria
NC_003078.1,Proteobacteria
NC_003079.1,Proteobacteria
NC_003080.1,Actinobacteria
NC_003091.1,Fusobacteria
NC_003099.1,Firmicutes
NC_003101.1,Firmicutes
NC_003114.1,Proteobacteria
NC_003123.1,Proteobacteria
NC_003124.1,Proteobacteria
NC_003125.1,Proteobacteria
NC_003131.1,Proteobacteria
NC_003132.1,Proteobacteria
NC_003134.1,Proteobacteria
NC_003140.1,Firmicutes
NC_003201.1,Firmicutes
NC_003239.1,Actinobacteria
NC_003240.1,Cyanobacteria
NC_003241.1,Cyanobacteria
NC_003265.1,Firmicutes
NC_003267.1,Cyanobacteria
NC_003270.1,Cyanobacteria
NC_003273.1,Cyanobacteria
NC_003276.1,Cyanobacteria
NC_003277.2,Proteobacteria
NC_003292.1,Proteobacteria
NC_003296.1,Proteobacteria
NC_003320.2,Firmicutes
NC_003350.1,Proteobacteria
NC_003353.1,Tenericutes
NC_003374.1,Proteobacteria
NC_003383.1,Firmicutes
NC_003384.1,Proteobacteria
NC_003385.1,Proteobacteria
NC_003425.1,Proteobacteria
NC_003442.1,Actinobacteria
NC_003455.1,Proteobacteria
NC_003456.1,Proteobacteria
NC_003457.1,Proteobacteria
NC_003458.1,Firmicutes
NC_003486.1,Proteobacteria
NC_003490.1,Actinobacteria
NC_003526.1,Actinobacteria
NC_003527.1,Actinobacteria
NC_003528.1,Firmicutes
NC_003789.1,Proteobacteria
NC_003846.1,Actinobacteria
NC_003893.1,Firmicutes
NC_003894.1,Firmicutes
NC_003903.1,Actinobacteria
NC_003904.1,Actinobacteria
NC_003905.1,Proteobacteria
NC_003921.3,Proteobacteria
NC_003922.1,Proteobacteria
NC_003969.1,Firmicutes
NC_004041.2,Proteobacteria
NC_004058.1,Proteobacteria
NC_004059.1,Firmicutes
NC_004073.2,Cyanobacteria
NC_004160.1,Proteobacteria
NC_004163.1,Firmicutes
NC_004164.2,Firmicutes
NC_004252.1,Actinobacteria
NC_004253.1,Actinobacteria
NC_004319.1,Actinobacteria
NC_004320.1,Actinobacteria
NC_004334.1,Firmicutes
NC_004335.1,Firmicutes
NC_004341.2,Firmicutes
NC_004345.1,Proteobacteria
NC_004349.1,Proteobacteria
NC_004429.1,Proteobacteria
NC_004443.1,Actinobacteria
NC_004444.1,Proteobacteria
NC_004445.1,Proteobacteria
NC_004446.1,Proteobacteria
NC_004457.1,Proteobacteria
NC_004458.1,Proteobacteria
NC_004464.2,Proteobacteria
NC_004526.2,Actinobacteria
NC_004527.1,Proteobacteria
NC_004528.1,Firmicutes
NC_004532.1,Firmicutes
NC_004533.1,Actinobacteria
NC_004534.1,Actinobacteria
NC_004535.1,Actinobacteria
NC_004554.1,Proteobacteria
NC_004555.1,Proteobacteria
NC_004562.1,Firmicutes
NC_004564.1,Proteobacteria
NC_004565.1,Firmicutes
NC_004574.1,Proteobacteria
NC_004604.2,Firmicutes
NC_004632.1,Proteobacteria
NC_004633.1,Proteobacteria
NC_004652.1,Firmicutes
NC_004653.1,Firmicutes
NC_004669.1,Firmicutes
NC_004670.1,Firmicutes
NC_004671.1,Firmicutes
NC_004703.1,Bacteroidetes
NC_004704.2,Proteobacteria
NC_004719.1,Actinobacteria
NC_004720.1,Chlamydiae
NC_004721.2,Firmicutes
NC_004734.1,Proteobacteria
